ID,이름,생년월일,전화번호,주소,메모
43,윤현솔,1980-10-09,010-5052-5159,114 수성로,
44,권아빈,1990-12-09,010-9140-3667,578 범어로,
45,신윤온,2004-03-10,010-2407-3174,736 범어로,
46,이진현,2005-02-20,010-4430-5260,437 범어로,
47,이준원,1982-05-15,010-7989-1866,745 중앙로,
48,신채나,1981-11-28,010-5726-2496,648 범어로,
49,박예솔,1980-12-24,010-4390-2162,726 동성로,
50,송예현,2008-10-16,010-8830-2342,707 중앙로,
51,안민연,2005-09-10,010-1141-5453,248 칠성로,
52,강진현,1999-01-18,010-8933-5481,880 동성로,
53,김민아,1992-04-28,010-8329-3060,721 동성로,
54,송아연,1992-11-13,010-4159-7497,129 수성로,
55,한도온,1999-03-21,010-1322-7903,410 칠성로,
56,임지진,2000-11-12,010-2363-7053,665 칠성로,
57,황아현,1993-03-20,010-1225-4814,227 동성로,
58,이수연,1991-11-29,010-5678-6097,137 동성로,
59,김서현,1983-11-22,010-2660-6357,114 칠성로,
60,최세솔,1996-12-23,010-3368-5147,471 중앙로,
61,조시진,1983-04-04,010-6386-5022,65 중앙로,
62,류현온,1995-12-10,010-1933-5012,20 동성로,
63,조현율,1999-12-06,010-7452-4449,790 동성로,
64,김세영,2008-12-14,010-5335-7821,413 동성로,
65,장아빈,2008-06-15,010-8548-9198,265 중앙로,
66,류지영,1985-12-17,010-4305-9103,745 수성로,
67,윤현솔,2006-10-07,010-9634-8959,572 동성로,
68,정하민,1998-08-14,010-3430-7056,740 동성로,
69,황아주,2008-12-23,010-8644-5823,276 중앙로,
70,장예훈,2009-06-05,010-3747-8938,288 중앙로,
71,최서성,2003-02-23,010-4989-3342,747 수성로,
72,오유훈,1982-04-28,010-8777-9037,610 수성로,
73,김예나,2001-10-09,010-2808-8954,264 범어로,
74,한도율,1988-02-23,010-9831-8632,657 동성로,
75,최준주,1991-06-11,010-4046-6581,711 동성로,
76,신준림,2008-04-21,010-2088-6451,967 수성로,
77,권아나,1998-02-08,010-9343-6165,915 범어로,
78,이주영,1992-08-26,010-6680-1224,26 범어로,
79,안서민,2009-02-17,010-2245-4132,220 칠성로,
80,오도영,1992-04-04,010-7941-2186,721 수성로,
81,최현림,1989-05-10,010-5143-2892,544 수성로,
82,정채진,2010-10-20,010-9899-5854,758 중앙로,
83,장준민,1981-04-08,010-9331-3431,544 수성로,
84,황시경,1981-08-24,010-2159-2754,422 중앙로,
85,박다아,1980-03-21,010-5156-5557,493 칠성로,
86,강채솔,1990-09-22,010-2999-9115,339 동성로,
87,장지성,2008-05-23,010-2103-1183,722 수성로,
88,장유율,2002-08-23,010-5121-3786,444 수성로,
89,최세주,1990-02-13,010-7704-7875,833 중앙로,
90,최은우,1995-04-29,010-2532-2560,199 칠성로,
91,신지빈,2006-06-09,010-3073-7376,313 동성로,
92,서주림,1990-12-09,010-6331-5273,460 칠성로,
93,류아연,2004-08-11,010-7589-4100,573 범어로,
94,류은영,1996-05-06,010-9856-1023,447 수성로,
95,전수연,2007-08-25,010-6106-5299,646 동성로,
96,김채현,1985-05-29,010-9384-1329,619 동성로,
97,장진아,2010-12-26,010-2221-4059,356 칠성로,
98,권서솔,2004-02-23,010-6003-9403,294 칠성로,
99,서준우,1984-08-16,010-6034-3590,183 중앙로,
100,장은연,2003-07-09,010-5799-3614,827 칠성로,
101,임윤훈,1984-05-06,010-5307-3126,469 수성로,
102,정예성,2002-05-22,010-3477-2083,184 중앙로,
103,한지원,1981-08-03,010-1256-2599,361 칠성로,
104,안주경,1999-09-10,010-5803-3996,924 중앙로,
105,정주훈,2000-11-10,010-1399-9377,940 수성로,
106,김아연,1982-01-29,010-8930-4075,23 범어로,
107,강은경,1980-03-17,010-2013-3869,950 동성로,
108,서민현,1991-01-20,010-4890-8694,560 동성로,
109,강채성,1983-08-11,010-4926-9521,547 동성로,
110,임채아,1985-07-02,010-5397-9859,699 동성로,
111,박주율,1995-05-04,010-5177-1991,309 중앙로,
112,송시윤,1995-05-01,010-9873-6600,177 칠성로,
113,권다원,2001-04-25,010-7016-4251,316 칠성로,
114,장시온,1991-09-01,010-5298-5789,526 수성로,
115,윤시경,1987-01-14,010-4949-5507,134 동성로,
116,임준우,1980-10-14,010-5327-7686,682 범어로,
117,최주진,1999-01-31,010-9256-3595,725 수성로,
118,이예희,1992-11-19,010-3722-9059,156 동성로,
119,서지빈,1997-10-18,010-7912-7424,113 동성로,
120,황현현,1989-01-13,010-3294-6138,833 중앙로,
121,권서솔,2007-08-26,010-5711-6765,612 수성로,
122,임아온,1988-05-01,010-3627-2527,614 범어로,
123,김현솔,2001-03-16,010-5779-2076,680 칠성로,
124,강아현,1981-05-13,010-5693-8266,708 중앙로,
125,황지솔,2005-02-26,010-2945-9631,572 범어로,
126,류지훈,2002-10-17,010-5454-4946,628 동성로,
127,조유윤,1995-02-27,010-3012-3063,269 칠성로,
128,장아윤,1990-03-26,010-5680-3128,90 칠성로,
129,류현경,1983-08-26,010-2622-4988,863 칠성로,
130,조세주,1994-08-23,010-4072-8214,654 수성로,
131,장서현,2010-12-01,010-7462-4606,64 수성로,
132,서아민,2004-02-21,010-1854-8328,939 수성로,
133,정예율,2003-08-28,010-8491-3299,809 수성로,
134,송수희,2007-05-17,010-3193-3187,407 수성로,
135,황지경,1985-04-27,010-3175-5841,252 동성로,
136,임하윤,1984-07-24,010-9202-1998,779 칠성로,
137,조세빈,1982-02-17,010-1710-5845,503 칠성로,
138,권현성,1993-04-01,010-8975-7966,285 범어로,
139,송은온,1984-07-29,010-9689-7365,383 수성로,
140,오도영,1988-05-15,010-3731-8157,169 동성로,
141,류지윤,1982-03-27,010-1726-9899,608 칠성로,
142,강하현,2002-02-19,010-1860-2893,898 수성로,
143,조도성,2003-03-13,010-5802-3795,814 범어로,
144,전다나,1990-10-13,010-9677-4121,678 범어로,
145,윤지민,2006-01-10,010-9857-1598,865 동성로,
146,안세현,1981-05-18,010-6436-3036,102 중앙로,
147,정지솔,1987-05-12,010-2828-3967,666 중앙로,
148,오지민,2005-05-14,010-8021-3214,974 중앙로,
149,강서성,2001-09-26,010-1988-5310,693 동성로,
150,류예현,2004-05-17,010-9864-8539,319 수성로,
151,윤서경,1985-05-21,010-9325-2154,681 칠성로,
152,권진빈,1980-10-13,010-1664-2438,597 중앙로,
153,오지나,1990-08-14,010-1726-7628,290 칠성로,
154,최서솔,1985-06-21,010-3238-6830,570 수성로,
155,임진윤,1980-10-10,010-5936-3225,167 칠성로,
156,류다훈,1997-06-18,010-1597-5311,830 중앙로,
157,김세경,1984-11-17,010-1677-5231,240 동성로,
158,오민경,2008-03-04,010-4662-5003,603 수성로,
159,오준빈,2004-07-21,010-4378-8516,457 범어로,
160,강지윤,2000-08-19,010-9566-6562,688 범어로,
161,권수율,1988-03-24,010-5560-9074,414 칠성로,
162,조하연,1988-06-03,010-9110-3080,317 동성로,
163,권세원,1992-03-09,010-6711-9255,663 칠성로,
164,서유온,1989-05-28,010-4836-9094,791 동성로,
165,박예성,1995-01-07,010-7051-7900,574 중앙로,
166,강도원,2008-09-25,010-2391-6883,696 수성로,
167,전세림,1981-06-04,010-6283-2556,524 칠성로,
168,조민나,1996-04-25,010-8184-5331,142 범어로,
169,조하온,1996-03-26,010-1110-4391,277 중앙로,
170,김예주,1985-11-26,010-6662-5560,433 중앙로,
171,장서우,1991-02-17,010-6656-5263,761 범어로,
172,권진윤,2009-07-18,010-3714-9983,207 중앙로,
173,임현율,2008-09-09,010-4926-5570,875 동성로,
174,권아경,1985-05-14,010-8661-6974,60 범어로,
175,임도주,1986-02-16,010-6982-4745,537 중앙로,
176,임예림,1991-12-07,010-7118-2748,490 범어로,
177,윤지희,2006-05-02,010-6130-9216,222 범어로,
178,신시희,1993-10-10,010-5103-6562,774 칠성로,
179,오채성,1989-03-07,010-1414-4253,196 칠성로,
180,권예림,1987-12-06,010-7906-2728,214 중앙로,
181,조지윤,1985-08-04,010-4168-8918,74 수성로,
182,최채빈,1986-07-26,010-1415-3914,568 범어로,
183,김다나,2006-02-27,010-3607-6822,331 칠성로,
184,조채희,2010-12-01,010-1561-6396,299 범어로,
185,류서진,1995-10-08,010-7774-4152,393 칠성로,
186,강다현,1988-03-25,010-3714-5683,858 수성로,
187,임지림,2003-07-05,010-2858-3975,925 범어로,
188,안주훈,1989-11-11,010-4107-9742,838 중앙로,
189,한아현,1993-06-27,010-2393-3829,550 범어로,
190,안은영,1994-08-02,010-3800-9732,411 범어로,
191,전시연,1992-06-13,010-3261-1282,614 칠성로,
192,강지솔,2009-06-17,010-8467-1520,79 중앙로,
193,임유민,2005-04-15,010-8457-9254,633 동성로,
194,전은윤,2009-04-07,010-6335-7929,970 범어로,
195,류예성,1982-08-09,010-4651-7402,835 수성로,
196,이아성,1989-04-07,010-5135-6958,296 범어로,
197,류아현,1999-05-04,010-3691-2107,39 칠성로,
198,조도우,2005-10-22,010-1488-5489,590 범어로,
199,송진현,2010-10-11,010-4498-1849,477 중앙로,
200,장하아,1986-06-11,010-6500-8899,775 동성로,
201,정예성,2010-02-17,010-1118-9430,590 수성로,
202,조은연,1996-02-15,010-9304-7497,857 칠성로,
203,임윤주,1980-02-27,010-9420-1442,638 수성로,
204,한지경,1981-04-06,010-8327-2932,90 범어로,
205,최하훈,1993-01-01,010-6558-2190,325 동성로,
206,전도나,1982-08-02,010-6544-2831,423 수성로,
207,강은림,2007-08-01,010-9271-1655,678 수성로,
208,정서경,2000-02-17,010-6813-6332,675 수성로,
209,강시경,1993-07-19,010-1452-4462,12 칠성로,
210,강하성,1993-02-12,010-9477-2487,430 중앙로,
211,장윤우,1989-07-07,010-4005-1189,374 동성로,
212,서다나,2002-04-26,010-6797-3934,713 범어로,
213,신하온,1997-04-08,010-8692-4556,143 범어로,
214,장예현,2008-01-21,010-5681-2161,841 칠성로,
215,최지영,1987-02-26,010-5101-5955,362 수성로,
216,박윤현,2005-06-22,010-5232-8878,703 범어로,
217,안하나,1999-03-21,010-3334-5714,646 칠성로,
218,정채나,1983-09-30,010-8329-3152,266 중앙로,
219,황민림,1991-03-28,010-1400-4863,706 중앙로,
220,이하아,1988-01-28,010-1831-3745,149 중앙로,
221,최채민,2002-11-30,010-4621-1272,683 범어로,
222,신지영,1988-10-31,010-7269-4821,90 중앙로,
223,장채영,2000-07-08,010-8404-1137,342 범어로,
224,류하온,1992-08-10,010-2957-5112,325 범어로,
225,한도온,2001-07-13,010-7819-5847,348 수성로,
226,윤시원,1999-03-16,010-3114-2306,503 동성로,
227,임은솔,2009-11-30,010-3772-5294,830 중앙로,
228,송아아,1992-08-16,010-1225-4586,567 범어로,
229,서채솔,2004-07-30,010-5267-5479,282 동성로,
230,안지윤,1980-02-25,010-5747-2640,28 동성로,
231,조채연,2006-09-17,010-4894-7974,612 수성로,
232,한은원,1980-12-02,010-2358-9223,842 칠성로,
233,강다경,2010-08-15,010-1638-5763,568 동성로,
234,강수민,1990-10-19,010-1364-4801,546 범어로,
235,안은민,1998-05-04,010-4028-2094,363 범어로,
236,박지아,2003-05-08,010-2139-1149,430 수성로,
237,권은연,2008-08-09,010-8575-1264,533 중앙로,
238,신진아,1997-08-29,010-4870-4878,28 범어로,
239,장서아,1985-05-24,010-6532-7727,442 동성로,
240,윤진현,2002-08-26,010-5299-4870,299 범어로,
241,이서진,2001-11-12,010-6286-1618,459 범어로,
242,조수훈,1994-03-21,010-8814-2315,761 동성로,
243,김지주,1994-05-07,010-5817-3445,649 중앙로,
244,황도아,2009-07-31,010-8126-8688,586 범어로,
245,윤진진,2006-07-17,010-4304-5206,578 범어로,
246,송유경,1999-04-02,010-2653-2870,279 동성로,
247,신아온,1994-11-28,010-8535-9466,277 중앙로,
248,한준주,2001-04-04,010-1774-5596,176 범어로,
249,최세온,1995-06-15,010-8734-8537,979 칠성로,
250,황현온,2001-10-14,010-3969-4220,183 수성로,
251,황지원,2004-09-26,010-6642-4808,862 범어로,
252,윤유희,2008-02-12,010-4834-6423,774 동성로,
253,조서온,1999-07-27,010-4434-9792,612 범어로,
254,권다현,2000-08-07,010-2387-7108,680 동성로,
255,정민주,1989-10-18,010-3863-2474,441 범어로,
256,전은희,2004-06-21,010-6766-1460,892 칠성로,
257,임수나,1988-08-25,010-3605-4021,786 범어로,
258,장주원,2009-06-10,010-5896-9138,805 범어로,
259,조현성,1998-09-24,010-4946-7563,101 칠성로,
260,황예원,1999-11-21,010-1497-3025,121 중앙로,
261,이주주,1987-11-09,010-8716-3193,379 수성로,
262,임예빈,1996-03-07,010-6584-2885,349 동성로,
263,정지빈,1981-01-08,010-7855-3037,632 수성로,
264,정현진,1990-06-22,010-5279-1205,909 중앙로,
265,황아훈,1996-04-15,010-4886-4268,737 칠성로,
266,장은진,2007-02-18,010-2386-4881,888 칠성로,
267,강진현,1992-06-04,010-3753-8564,487 동성로,
268,한민민,2004-07-27,010-9869-2393,843 범어로,
269,강유온,1988-04-02,010-8775-5215,477 동성로,
270,조하우,1988-08-19,010-2381-6077,513 범어로,
271,임민연,1985-11-28,010-2550-4313,427 수성로,
272,박시경,1997-10-12,010-7191-1516,425 동성로,
273,오하진,1988-06-04,010-5016-5043,993 범어로,
274,전시성,1992-08-07,010-8056-1862,456 동성로,
275,박현우,1999-06-27,010-4376-5847,277 범어로,
276,오현나,1990-07-13,010-4709-8228,748 범어로,
277,류지빈,1992-01-18,010-4437-4238,456 동성로,
278,전도현,1997-07-17,010-7404-7251,418 중앙로,
279,김예나,1982-07-08,010-9557-4417,378 범어로,
280,조수윤,1986-03-25,010-2433-6108,878 중앙로,
281,송지민,1992-07-26,010-7382-1461,518 범어로,
282,권아빈,1999-04-03,010-9373-7183,398 수성로,
283,송진율,1993-05-01,010-7976-1810,345 칠성로,
284,한지경,1984-12-10,010-4259-3193,529 범어로,
285,오준림,1987-12-06,010-7127-7933,714 범어로,
286,장지나,1993-10-09,010-8324-5515,20 범어로,
287,한주율,1996-03-02,010-1615-1300,313 칠성로,
288,안지현,1993-09-16,010-5702-7676,844 범어로,
289,황도우,1994-04-04,010-1320-3401,972 칠성로,
290,박수윤,1984-05-03,010-7279-4737,364 수성로,
291,임예온,1983-05-11,010-7427-2458,497 동성로,
292,장주영,1999-07-12,010-1192-1707,70 범어로,
293,최다아,2001-05-21,010-2893-5807,806 범어로,
294,윤예경,2006-04-25,010-6728-3393,492 칠성로,
295,강은영,1993-05-09,010-8219-9989,239 범어로,
296,황수훈,1983-05-14,010-1933-8368,339 동성로,
297,임지희,1986-02-22,010-7534-1283,25 동성로,
298,전다온,2008-06-04,010-5834-1992,73 범어로,
299,김예주,1983-06-05,010-3641-2579,565 동성로,
300,조현솔,1990-01-27,010-3853-9272,344 중앙로,
301,이지진,2004-11-03,010-3344-6547,933 동성로,
302,장민영,1988-04-18,010-8439-6076,718 수성로,
303,서지진,1991-08-28,010-2723-7843,836 동성로,
304,조시우,2000-01-20,010-9025-4965,118 범어로,
305,안준진,1991-06-17,010-5571-2017,40 중앙로,
306,서현원,2003-01-18,010-2229-6169,803 칠성로,
307,박아윤,1984-01-17,010-7132-4834,905 범어로,
308,권시아,2001-03-04,010-5747-4412,712 범어로,
309,안예경,1988-12-18,010-3602-5636,851 칠성로,
310,이현현,1995-07-07,010-9620-2663,599 칠성로,
311,박현온,1989-01-01,010-9360-6490,365 칠성로,
312,조준아,1996-05-25,010-8539-2896,176 중앙로,
313,송수현,1983-06-15,010-4143-7711,586 동성로,
314,이하민,2008-03-30,010-2426-8026,899 칠성로,
315,박하현,1985-12-24,010-2179-9558,304 동성로,
316,서도민,1992-11-01,010-1866-7389,827 칠성로,
317,박도온,1984-04-17,010-8772-7928,568 수성로,
318,류지희,1981-08-14,010-6631-2113,349 칠성로,
319,황다희,1984-03-11,010-6947-1007,759 동성로,
320,류하원,1980-03-01,010-7723-1414,44 칠성로,
321,조윤빈,1999-01-08,010-7386-3386,335 중앙로,
322,최지영,2006-12-15,010-4017-6263,871 동성로,
323,권윤진,1981-11-05,010-8857-6841,272 범어로,
324,이현연,1992-12-30,010-2933-8144,928 칠성로,
325,안민성,1990-06-20,010-5270-1731,640 중앙로,
326,신채연,2008-10-19,010-3361-9413,995 중앙로,
327,김준아,1991-10-29,010-3140-4471,333 수성로,
328,신세진,2000-12-20,010-4378-4381,695 칠성로,
329,안다우,1980-02-18,010-8567-7687,157 수성로,
330,황진율,2005-07-31,010-4252-6774,290 동성로,
331,류아주,2005-07-13,010-5430-3483,744 범어로,
332,최주우,1982-08-17,010-5579-4082,144 범어로,
333,최지온,1990-12-21,010-8081-1916,878 수성로,
334,조주훈,1985-01-11,010-3788-6137,481 칠성로,
335,권현솔,2002-06-27,010-2533-2903,72 수성로,
336,신예림,1980-12-23,010-3186-6137,241 칠성로,
337,윤준성,1999-09-03,010-7102-2668,25 동성로,
338,류도빈,1990-03-28,010-5972-7819,292 동성로,
339,안지민,2002-10-29,010-1915-1695,788 범어로,
340,권은영,1988-04-12,010-4750-6479,993 동성로,
341,서지영,2007-10-20,010-3696-8534,444 수성로,
342,황하민,1998-02-20,010-8911-1851,361 칠성로,
343,박지율,2001-10-01,010-3591-3444,740 범어로,
344,최세훈,1988-08-28,010-1107-8055,32 범어로,
345,정은훈,2006-03-25,010-6191-3893,514 수성로,
346,강세진,1982-05-20,010-7634-7580,478 범어로,
347,이은율,1997-12-27,010-2410-8050,493 범어로,
348,윤수영,2001-01-04,010-6104-6965,683 동성로,
349,김현율,1993-07-22,010-8897-5624,748 중앙로,
350,서주우,1988-07-13,010-4245-9590,706 칠성로,
351,박도희,1990-01-21,010-1603-6603,183 칠성로,
352,김채나,2005-10-19,010-7639-6252,156 수성로,
353,서아성,2002-09-23,010-8613-4296,899 수성로,
354,강현림,1986-08-14,010-4174-8029,613 범어로,
355,신주훈,1993-11-23,010-2723-5730,675 범어로,
356,최예희,1996-12-22,010-7728-9537,211 중앙로,
357,장현솔,2008-08-24,010-5399-1525,358 동성로,
358,황현원,1987-07-30,010-4981-5880,400 수성로,
359,신윤우,2003-05-02,010-2921-2969,416 칠성로,
360,장지아,2007-03-08,010-2518-6997,342 범어로,
361,송세온,1993-05-15,010-7888-8281,860 칠성로,
362,최다나,1988-07-22,010-9105-1251,926 중앙로,
363,박시솔,1990-03-05,010-9239-2004,580 칠성로,
364,서예온,1987-02-21,010-8616-4199,60 수성로,
365,김시연,1988-08-05,010-1171-4362,888 범어로,
366,정지희,1982-02-10,010-3554-3374,641 중앙로,
367,박하솔,2001-08-31,010-9915-8460,732 수성로,
368,송주연,1986-11-14,010-1673-1496,259 범어로,
369,장준진,1985-10-26,010-5305-3973,175 중앙로,
370,장준민,1999-08-30,010-4613-3548,10 범어로,
371,이서진,2004-06-18,010-8408-7636,376 중앙로,
372,박유나,1980-12-23,010-4456-4749,505 중앙로,
373,전진온,1986-10-15,010-4997-7918,507 동성로,
374,송다진,1999-02-26,010-9732-1869,43 범어로,
375,송서성,1991-01-11,010-8210-4495,7 동성로,
376,장현온,1998-11-23,010-8465-8297,11 중앙로,
377,김채훈,1995-03-03,010-1088-1001,26 동성로,
378,임민진,1985-12-10,010-2883-2525,322 칠성로,
379,류채주,1994-03-27,010-5445-5208,263 동성로,
380,박유나,1992-08-20,010-7195-9488,711 범어로,
381,안준원,2000-07-28,010-6111-4949,832 범어로,
382,오세희,1995-05-10,010-9716-3018,130 범어로,
383,전서나,2007-01-24,010-2407-3481,384 범어로,
384,류세빈,1999-01-13,010-1177-5613,45 수성로,
385,송민림,1984-12-14,010-8888-1603,692 칠성로,
386,황채주,2008-04-16,010-4500-5962,880 수성로,
387,최채율,2005-10-14,010-4665-6989,761 칠성로,
388,송수영,1984-09-06,010-6665-4397,230 칠성로,
389,송세윤,1998-05-05,010-5289-5131,636 수성로,
390,임현온,2003-01-11,010-3004-9578,444 중앙로,
391,신서경,2007-03-31,010-4714-8821,589 동성로,
392,황다아,1986-02-05,010-2639-7889,844 칠성로,
393,신채희,1997-10-21,010-4481-7479,662 칠성로,
394,오준빈,1999-12-31,010-9704-5064,973 범어로,
395,임세원,2003-01-10,010-8501-5951,22 칠성로,
396,이아성,1995-05-14,010-7450-1616,104 동성로,
397,황지온,1991-01-26,010-4181-2238,140 범어로,
398,윤현훈,1997-02-08,010-9715-8050,838 칠성로,
399,정현빈,1990-11-20,010-8118-6562,623 칠성로,
400,이현빈,1986-10-12,010-2638-9659,35 칠성로,
401,오유원,2000-06-28,010-2564-6363,118 범어로,
402,박시영,1996-02-06,010-7025-3245,449 칠성로,
403,서아경,1981-03-28,010-2904-2715,122 칠성로,
404,한주성,1984-09-19,010-4145-1999,761 칠성로,
405,오현림,2001-12-08,010-9403-9387,719 동성로,
406,김지림,2004-02-15,010-9155-6463,983 중앙로,
407,송수림,2010-09-26,010-4098-6404,264 수성로,
408,이세경,1983-11-29,010-5862-6718,677 동성로,
409,오진진,1987-09-06,010-7546-9107,648 범어로,
410,신예아,2003-11-22,010-3679-5229,419 칠성로,
411,조은성,1989-05-15,010-3213-1567,564 중앙로,
412,강아나,1995-03-14,010-4589-2911,725 중앙로,
413,박지우,2009-06-30,010-9637-7519,596 범어로,
414,임다솔,1997-09-05,010-6214-9854,460 범어로,
415,류민주,2010-08-23,010-4031-2415,764 칠성로,
416,서지희,2001-05-21,010-4377-2537,574 동성로,
417,윤채아,2003-04-14,010-9788-4628,741 동성로,
418,임준희,1983-12-15,010-6597-9838,363 중앙로,
419,황진윤,1989-10-29,010-8172-4632,778 칠성로,
420,장수나,2003-10-20,010-3288-1156,301 중앙로,
421,이하윤,1983-09-22,010-6723-5111,151 수성로,
422,정윤훈,1980-11-08,010-2692-2908,865 수성로,
423,박은연,2002-03-16,010-3360-2514,156 동성로,
424,윤아윤,1994-02-19,010-2951-6808,366 중앙로,
425,윤채온,2007-01-18,010-4019-2315,887 범어로,
426,전예훈,2002-01-30,010-5977-6004,619 동성로,
427,신지림,2003-06-07,010-3334-2819,22 중앙로,
428,조시경,1982-04-02,010-4651-4012,490 범어로,
429,이민경,1980-05-21,010-1759-5351,11 칠성로,
430,류준림,2004-08-07,010-4630-8278,911 중앙로,
431,김은빈,1983-05-20,010-5772-7177,743 중앙로,
432,권준우,1995-10-17,010-9081-8393,633 동성로,
433,송현림,1987-07-28,010-3575-1046,79 중앙로,
434,서민원,1994-05-26,010-1767-1109,895 동성로,
435,강채나,2006-03-15,010-4389-1371,276 동성로,
436,한현빈,1995-03-02,010-4015-6548,77 범어로,
437,조수민,1989-08-20,010-8193-1462,156 수성로,
438,오서희,2005-06-07,010-2637-6224,521 수성로,
439,서하경,1998-05-24,010-7213-6849,614 동성로,
440,황준성,2010-10-19,010-9393-2263,595 중앙로,
441,이예온,2006-05-22,010-9891-3201,709 칠성로,
442,강지아,2006-07-13,010-5910-6605,560 수성로,
443,황윤희,1980-12-07,010-1489-5048,550 범어로,
444,송다아,1994-06-23,010-3277-9568,538 동성로,
445,윤시희,2008-03-08,010-2619-5031,417 범어로,
446,김도연,2005-08-06,010-8058-2633,935 범어로,
447,전하온,1994-01-11,010-4604-6800,126 중앙로,
448,윤윤율,2002-01-08,010-3967-9985,408 범어로,
449,서세성,2009-03-07,010-6199-9537,671 동성로,
450,전준주,1995-08-03,010-7912-3353,547 동성로,
451,강다성,1992-01-07,010-5115-9757,980 칠성로,
452,한지연,1994-07-22,010-6686-9862,738 범어로,
453,윤민우,2000-06-18,010-2709-7872,579 중앙로,
454,황은훈,2008-10-25,010-7695-8421,206 수성로,
455,권주우,1998-06-17,010-8242-4689,415 중앙로,
456,류진주,1981-05-22,010-7205-1195,670 중앙로,
457,황윤희,1993-02-10,010-5484-6204,864 중앙로,
458,서도연,2002-11-03,010-2005-3175,254 수성로,
459,장하윤,1996-12-31,010-1940-2952,731 동성로,
460,장유경,1999-08-27,010-6939-9843,833 범어로,
461,김은희,1980-11-02,010-9009-1358,875 동성로,
462,송예훈,1989-01-13,010-5043-2088,499 범어로,
463,황예나,1982-08-10,010-6663-7122,896 수성로,
464,조유진,1983-10-28,010-4387-7314,918 범어로,
465,임세윤,1997-07-12,010-4955-6454,485 범어로,
466,전윤훈,1990-07-19,010-6015-3796,641 중앙로,
467,장채온,1980-01-12,010-4622-7429,689 칠성로,
468,윤다윤,1993-08-01,010-5884-3868,564 수성로,
469,윤서율,1996-07-25,010-3263-7741,893 동성로,
470,한지훈,2010-07-13,010-7785-4897,198 동성로,
471,이진온,2008-10-15,010-7437-1896,159 중앙로,
472,임지경,2003-06-16,010-6538-7027,927 범어로,
473,김세성,2001-08-13,010-3069-4893,133 동성로,
474,박준윤,1980-06-28,010-1310-1019,734 중앙로,
475,오유우,1981-06-28,010-7665-7882,970 중앙로,
476,임지나,1986-05-17,010-5940-2645,964 범어로,
477,송도빈,1998-10-14,010-3281-2332,671 범어로,
478,오아윤,1983-03-01,010-1649-3043,594 범어로,
479,황세아,1995-04-12,010-7797-6873,69 동성로,
480,임민진,1981-01-17,010-9524-3996,610 범어로,
481,최세민,2001-08-08,010-6163-4420,111 범어로,
482,박유윤,1985-01-07,010-6813-7820,324 동성로,
483,권다현,1986-03-26,010-9518-4147,220 수성로,
484,신윤윤,2006-09-24,010-3098-9412,56 동성로,
485,최예윤,1980-02-19,010-6568-5974,797 칠성로,
486,류서영,2010-01-02,010-5276-2749,202 동성로,
487,신은현,1989-02-01,010-8432-5528,271 칠성로,
